N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+613,0.01340882,2,0.01340882,-74.72079044,2.234542e-05,20.497,18.788,18.788,0
2mer-0+574,0.0274073,2,0.0274073,-74.69338314,2.219654e-05,20.658,18.83,18.83,0
2mer-0+489,-0.01926947,2,-0.01926947,-74.71265261,2.218827e-05,22.762,18.832,18.832,0
2mer-0+385,-0.00127174,2,-0.00127174,-74.71392435,2.206428e-05,21.581,18.867,18.867,0
2mer-0+400,-0.0264872,2,-0.0264872,-74.74041155,2.199937e-05,21.091,18.886,18.886,0
2mer-0+553,0.00323272,2,0.00323272,-74.73717883,2.195226e-05,22.213,18.899,18.899,0
2mer-0+513,-0.023991,2,-0.023991,-74.76116983,2.187875e-05,20.464,18.92,18.92,0
2mer-0+542,-0.03425204,2,-0.03425204,-74.79542186,2.174777e-05,22.242,18.958,18.958,0
2mer-0+491,-0.02140244,2,-0.02140244,-74.8168243,2.156246e-05,20.947,19.012,19.012,0
2mer-0+618,0.02456179,2,0.02456179,-74.79226251,2.153024e-05,21.265,19.022,19.022,0
2mer-0+590,0.00294607,2,0.00294607,-74.78931645,2.136864e-05,21.437,19.07,19.07,0
2mer-0+394,-0.03519503,2,-0.03519503,-74.82451148,2.13378e-05,21.231,19.079,19.079,0
2mer-0+390,-0.02654436,2,-0.02654436,-74.85105584,2.115767e-05,21.467,19.133,19.133,0
2mer-0+571,-0.02489656,2,-0.02489656,-74.87595241,2.115233e-05,22.208,19.134,19.134,0
2mer-0+498,0.02405917,2,0.02405917,-74.85189324,2.104365e-05,21.216,19.167,19.167,0
2mer-0+488,-0.02635812,2,-0.02635812,-74.87825136,2.097748e-05,20.481,19.187,19.187,0
2mer-0+570,-0.02667808,2,-0.02667808,-74.90492944,2.097669e-05,22.255,19.188,19.188,0
2mer-0+556,0.01487926,2,0.01487926,-74.89005018,2.079313e-05,22.096,19.244,19.244,0
2mer-0+433,-0.02547041,2,-0.02547041,-74.91552059,2.074266e-05,21.673,19.26,19.26,0
2mer-0+566,0.00554773,2,0.00554773,-74.90997287,2.06827e-05,21.461,19.278,19.278,0
2mer-0+431,0.00727098,2,0.00727098,-74.90270189,2.059469e-05,21.294,19.306,19.306,0
2mer-0+396,0.0196221,2,0.0196221,-74.88307978,2.059042e-05,22.196,19.307,19.307,0
2mer-0+496,-0.03315609,2,-0.03315609,-74.91623587,2.056991e-05,22.242,19.313,19.313,0
2mer-0+471,-0.01895492,2,-0.01895492,-74.93519079,2.051248e-05,21.866,19.331,19.331,0
2mer-0+608,0.00954678,2,0.00954678,-74.92564401,2.046044e-05,21.437,19.348,19.348,0
2mer-0+619,0.02214118,2,0.02214118,-74.90350283,1.992585e-05,22.034,19.519,19.519,0
2mer-0+487,0.01853617,2,0.01853617,-74.88496666,1.977933e-05,21.249,19.567,19.567,0
2mer-0+506,-0.00318669,2,-0.00318669,-74.88815335,1.966544e-05,23.14,19.605,19.605,0
2mer-0+636,-0.00476716,2,-0.00476716,-74.89292051,1.950765e-05,22.203,19.658,19.658,0
2mer-0+545,0.0180929,2,0.0180929,-74.87482761,1.944881e-05,23.076,19.678,19.678,0
2mer-0+497,-0.01749728,2,-0.01749728,-74.89232489,1.939167e-05,22.428,19.697,19.697,0
2mer-0+494,0.01136485,2,0.01136485,-74.88096004,1.937576e-05,22.096,19.702,19.702,0
2mer-0+589,0.01471463,2,0.01471463,-74.86624541,1.93621e-05,21.461,19.707,19.707,0
2mer-0+544,0.01609921,2,0.01609921,-74.85014621,1.934592e-05,23.436,19.712,19.712,0
2mer-0+624,0.01611114,2,0.01611114,-74.83403507,1.932483e-05,23.316,19.719,19.719,0
2mer-0+536,0.00877641,2,0.00877641,-74.82525866,1.932255e-05,21.467,19.72,19.72,0
2mer-0+448,-0.00917003,2,-0.00917003,-74.83442869,1.926724e-05,21.833,19.739,19.739,0
2mer-0+451,0.00285705,2,0.00285705,-74.83157164,1.926154e-05,23.057,19.741,19.741,0
2mer-0+642,-0.00813752,2,-0.00813752,-74.83970916,1.925887e-05,22.092,19.742,19.742,0
2mer-0+479,0.00449083,2,0.00449083,-74.83521833,1.921353e-05,23.034,19.758,19.758,0
2mer-0+434,-0.02480131,2,-0.02480131,-74.86001964,1.908708e-05,21.866,19.801,19.801,0
2mer-0+447,-0.01376729,2,-0.01376729,-74.87378692,1.907145e-05,22.213,19.806,19.806,0
2mer-0+437,0.01448374,2,0.01448374,-74.85930319,1.905567e-05,22.831,19.812,19.812,0
2mer-0+665,0.02073787,2,0.02073787,-74.83856531,1.901054e-05,22.034,19.828,19.828,0
2mer-0+576,0.01361012,2,0.01361012,-74.8249552,1.897164e-05,21.866,19.841,19.841,0
2mer-0+485,0.00314816,2,0.00314816,-74.82180703,1.892809e-05,23.034,19.856,19.856,0
2mer-0+538,-0.01730111,2,-0.01730111,-74.83910814,1.886896e-05,22.915,19.877,19.877,0
2mer-0+458,0.01205919,2,0.01205919,-74.82704895,1.884563e-05,22.786,19.885,19.885,0
2mer-0+483,0.00351221,2,0.00351221,-74.82353674,1.882787e-05,22.376,19.891,19.891,0
2mer-0+641,-0.01964072,2,-0.01964072,-74.84317746,1.869511e-05,22.904,19.938,19.938,0
2mer-0+463,0.01536686,2,0.01536686,-74.8278106,1.862206e-05,21.747,19.965,19.965,0
2mer-0+704,0.00219434,2,0.00219434,-74.82561626,1.861856e-05,22.061,19.966,19.966,0
2mer-0+552,-0.02070247,2,-0.02070247,-74.84631873,1.860399e-05,23.508,19.971,19.971,0
